"","COMMON.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","julian_date"
"8188800","Barn Swallow",500,42.9817483,-76.7353284,2018-08-25,"06:41:00","Traveling",36,6.132,NA,2,1,237
"8189367","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189375","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189376","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189381","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189391","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189400","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189401","Barn Swallow",500,43.009646,-76.7582003,2019-08-22,"18:08:00","Traveling",89,0.563,NA,2,1,234
"8189413","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189417","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189449","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189455","Barn Swallow",500,43.009646,-76.7582003,2019-08-22,"18:08:00","Traveling",89,0.563,NA,2,1,234
"8189463","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189482","Barn Swallow",300,43.0074716,-76.7464542,2019-08-25,"07:10:00","Traveling",280,2.816,NA,38,1,237
"8189505","Barn Swallow",400,42.9817483,-76.7353284,2019-08-18,"06:15:00","Traveling",111,6.369,NA,1,1,230
"8189506","Barn Swallow",1000,42.9817483,-76.7353284,2019-08-19,"19:29:00","Traveling",20,6.003,NA,2,0,231
"8189507","Barn Swallow",1000,42.9817483,-76.7353284,2019-08-19,"19:29:00","Traveling",20,6.003,NA,2,0,231
"8189547","Barn Swallow",500,42.9892318,-76.7711279,2019-09-01,"08:18:00","Traveling",41,0.885,NA,1,1,244
"8189604","Barn Swallow",400,42.8311811,-76.9112404,2019-09-05,"07:41:00","Traveling",34,2.31,NA,1,1,248
"8190474","Barn Swallow",300,43.009646,-76.7582003,2021-07-29,"13:44:00","Traveling",54,0.45,NA,2,1,210
"8190555","Barn Swallow",300,43.009646,-76.7582003,2021-07-29,"13:44:00","Traveling",54,0.45,NA,2,1,210
"8190605","Barn Swallow",1200,43.009646,-76.7582003,2021-07-29,"06:11:00","Traveling",73,0.257,NA,1,1,210
"8190626","Barn Swallow",360,42.9681927,-76.7377416,2021-08-17,"06:08:00","Traveling",26,0.641,NA,1,1,229
"8191185","Barn Swallow",2000,43.009646,-76.7582003,2022-07-19,"20:05:00","Traveling",36,1.215,NA,1,1,200
"8191188","Barn Swallow",250,43.0076202,-76.7529774,2022-08-27,"07:41:00","Traveling",207,1.448,NA,25,1,239
"8191192","Barn Swallow",250,43.0076202,-76.7529774,2022-08-27,"07:41:00","Traveling",207,1.448,NA,25,1,239
"8191212","Barn Swallow",250,43.0076202,-76.7529774,2022-08-27,"07:41:00","Traveling",207,1.448,NA,25,1,239
"8191865","Barn Swallow",300,42.9817483,-76.7353284,2024-07-21,"18:52:00","Traveling",79,3.905,NA,1,1,203
"8191895","Barn Swallow",1000,42.9694727,-76.7402469,2024-07-21,"20:30:00","Traveling",37,0.532,NA,1,1,203
"8191896","Barn Swallow",3000,42.9817483,-76.7353284,2024-07-16,"05:40:00","Traveling",130,4.12,NA,1,1,198
"8191927","Barn Swallow",250,42.9817483,-76.7353284,2024-08-24,"19:30:00","Traveling",48,4.828,NA,1,1,237
"8191933","Barn Swallow",250,43.0076202,-76.7529774,2024-08-24,"18:56:00","Stationary",24,NA,NA,1,1,237
"8194761","Barn Swallow",240,42.263578,-76.503767,2018-08-03,"06:08:00","Traveling",138,3.861,NA,1,1,215
"8195979","Barn Swallow",220,42.4632963,-76.4577198,2016-07-14,"19:55:00","Traveling",43,0.805,NA,1,1,196
"8201951","Barn Swallow",300,42.5371252,-76.5506476,2021-07-28,"06:34:00","Stationary",46,NA,NA,1,1,209
"8202264","Barn Swallow",250,42.5171015,-76.3409478,2021-09-09,"08:47:00","Incidental",NA,NA,NA,1,0,252
"8202948","Barn Swallow",250,42.5329115,-76.3534811,2022-07-11,"19:06:00","Stationary",104,NA,NA,1,1,192
"8203950","Barn Swallow",250,42.5329115,-76.3534811,2023-07-17,"18:50:00","Stationary",127,NA,NA,2,1,198
"8203969","Barn Swallow",250,42.5329115,-76.3534811,2023-07-17,"18:50:00","Stationary",127,NA,NA,2,1,198
"8205079","Barn Swallow",275,42.5371252,-76.5506476,2024-08-18,"06:48:00","Traveling",236,1.094,NA,1,1,231
"8206984","Barn Swallow",1200,43.0489452,-76.7335796,2020-08-18,"18:11:00","Traveling",57,0.435,NA,2,1,231
"8206985","Barn Swallow",1200,43.0489452,-76.7335796,2020-08-18,"18:11:00","Traveling",57,0.435,NA,2,1,231
"8214759","Barn Swallow",300,41.0168379,-83.5709681,2023-09-08,"10:07:00","Traveling",143,4.49,NA,1,1,251
"8221023","Barn Swallow",400,41.6450689,-83.2637178,2024-08-04,"14:56:00","Traveling",86,1.931,NA,2,1,217
"8221029","Barn Swallow",400,41.6450689,-83.2637178,2024-08-04,"14:56:00","Traveling",86,1.931,NA,2,1,217
"8224899","Barn Swallow",500,40.7524219,-82.1058162,2019-08-31,"19:20:00","Traveling",42,0.322,NA,2,1,243
"8224900","Barn Swallow",500,40.7524219,-82.1058162,2019-08-31,"19:20:00","Traveling",42,0.322,NA,2,1,243
"8225074","Barn Swallow",400,40.7347385,-82.0710897,2021-08-17,"18:55:00","Traveling",40,1,NA,1,1,229
"8225124","Barn Swallow",400,40.7347385,-82.0710897,2022-09-11,"07:28:00","Traveling",132,2.1,NA,1,1,254
"8225126","Barn Swallow",300,40.6833542,-81.9566422,2022-09-12,"07:06:00","Traveling",114,2.01,NA,1,1,255
"8255448","Barn Swallow",850,40.0879447,-74.9981557,2022-08-15,"20:15:00","Stationary",15,NA,NA,1,1,227
"8255868","Barn Swallow",342,40.6416072,-75.9914862,2021-08-16,"05:45:00","Stationary",705,0,NA,1,1,228
"8255943","Barn Swallow",208,40.6416072,-75.9914862,2023-08-21,"05:30:00","Stationary",660,0,NA,2,1,233
"8255944","Barn Swallow",208,40.6416072,-75.9914862,2023-08-21,"05:30:00","Stationary",660,0,NA,2,1,233
"8255997","Barn Swallow",350,40.6416072,-75.9914862,2024-08-31,"07:00:00","Stationary",600,0,NA,2,1,244
"8346031","Barn Swallow",225,43.0333593,-89.3513775,2022-08-30,"18:42:00","Traveling",81,1.577,NA,1,1,242
"8346433","Barn Swallow",350,43.5555151,-88.6301422,2004-07-19,"08:30:00","Traveling",210,4.828,NA,1,1,201
"8346494","Barn Swallow",225,43.5555151,-88.6301422,2017-08-27,"06:45:00","Traveling",165,43.452,NA,1,1,239
"55148","Bank Swallow",1500,46.4116402,-84.1348061,2012-07-14,"10:45:00","Traveling",150,7,NA,2,1,196
"55572","Bank Swallow",250,44.0367394,-81.6501083,2005-07-08,"07:11:00","Stationary",5,NA,NA,1,1,189
"55605","Bank Swallow",1000,44.1356417,-81.1558722,2011-06-20,"09:45:00","Traveling",435,11,NA,2,1,171
"55833","Bank Swallow",500,44.1751137,-81.1804959,2017-07-05,"10:15:00","Incidental",NA,NA,NA,2,0,186
"55834","Bank Swallow",500,44.1751137,-81.1804959,2017-07-05,"10:15:00","Incidental",NA,NA,NA,2,0,186
"55873","Bank Swallow",1500,44.1552473,-81.1692922,2018-06-28,"10:56:00","Traveling",122,4.361,NA,3,1,179
"55874","Bank Swallow",300,44.1763005,-81.1834628,2018-06-28,"12:59:00","Traveling",45,1.432,NA,3,1,179
"55875","Bank Swallow",300,44.1763005,-81.1834628,2018-06-28,"12:59:00","Traveling",45,1.432,NA,3,1,179
"55876","Bank Swallow",1500,44.1552473,-81.1692922,2018-06-28,"10:56:00","Traveling",122,4.361,NA,3,1,179
"56077","Bank Swallow",300,44.1751137,-81.1804959,2020-07-05,"10:54:00","Traveling",154,7.34,NA,2,1,187
"56078","Bank Swallow",300,44.1751137,-81.1804959,2020-07-05,"10:54:00","Traveling",154,7.34,NA,2,1,187
"56515","Bank Swallow",855,43.1578484,-80.278151,2006-08-07,"","Incidental",NA,NA,NA,NA,0,219
"57460","Bank Swallow",305,43.1271104,-80.457108,2024-08-04,"13:17:00","Stationary",20,NA,NA,1,1,217
"58485","Bank Swallow",555,43.87345,-78.81101,2009-07-10,"05:45:00","Incidental",NA,NA,NA,2,1,191
"58554","Bank Swallow",350,44.1186876,-78.9646454,2010-08-17,"08:55:00","Traveling",50,3,NA,1,1,229
"59338","Bank Swallow",250,43.87345,-78.81101,2015-06-20,"10:37:00","Traveling",33,0.4,NA,1,1,171
"59757","Bank Swallow",209,43.8969183,-78.5556042,2017-06-26,"12:07:00","Stationary",4,NA,NA,1,1,177
"61081","Bank Swallow",350,43.8463417,-78.9045949,2021-07-18,"08:02:00","Traveling",180,3.5,NA,17,1,199
"61090","Bank Swallow",500,43.8463417,-78.9045949,2021-07-13,"09:05:00","Traveling",138,2.911,NA,4,1,194
"61094","Bank Swallow",250,44.283008,-79.058009,2021-07-05,"15:23:00","Incidental",NA,NA,NA,1,0,186
"61096","Bank Swallow",350,43.8463417,-78.9045949,2021-07-18,"08:02:00","Traveling",180,3.5,NA,17,1,199
"61103","Bank Swallow",350,43.8463417,-78.9045949,2021-07-18,"08:02:00","Traveling",180,3.5,NA,17,1,199
"61104","Bank Swallow",350,43.8463417,-78.9045949,2021-07-18,"08:02:00","Traveling",180,3.5,NA,17,1,199
"61107","Bank Swallow",500,43.8463417,-78.9045949,2021-07-13,"09:05:00","Traveling",138,2.911,NA,4,1,194
"61108","Bank Swallow",350,43.8463417,-78.9045949,2021-07-18,"08:02:00","Traveling",180,3.5,NA,17,1,199
"61138","Bank Swallow",350,43.8463417,-78.9045949,2021-07-18,"08:02:00","Traveling",180,3.5,NA,17,1,199
"61142","Bank Swallow",500,43.8463417,-78.9045949,2021-07-13,"09:05:00","Traveling",138,2.911,NA,4,1,194
"61146","Bank Swallow",500,43.8463417,-78.9045949,2021-07-13,"09:05:00","Traveling",138,2.911,NA,4,1,194
"61154","Bank Swallow",350,43.8463417,-78.9045949,2021-07-18,"08:02:00","Traveling",180,3.5,NA,17,1,199
"61160","Bank Swallow",350,43.8463417,-78.9045949,2021-07-18,"08:02:00","Traveling",180,3.5,NA,17,1,199
"61648","Bank Swallow",501,43.848224,-78.9026873,2022-07-02,"07:22:00","Traveling",74,2.17,NA,2,1,183
"61654","Bank Swallow",250,43.87156,-78.78386,2022-07-06,"20:44:00","Traveling",52,2.2,NA,1,1,187
"61655","Bank Swallow",501,43.8495501,-78.9001966,2022-07-02,"07:22:00","Traveling",74,2.17,NA,1,1,183
"62658","Bank Swallow",250,43.8463417,-78.9045949,2024-06-19,"06:52:00","Traveling",108,4.78,NA,1,1,171
"62660","Bank Swallow",250,43.8167667,-79.0373151,2024-07-29,"20:13:00","Traveling",45,1.64,NA,1,1,211
"62828","Bank Swallow",800,42.6578862,-81.2150145,2001-07-06,"13:30:00","Historical",NA,NA,NA,2,1,187
"62958","Bank Swallow",250,42.6691399,-81.1257477,2005-06-17,"08:12:00","Stationary",5,NA,NA,1,1,168
"63060","Bank Swallow",400,42.6016199,-81.4375305,2011-07-15,"13:30:00","Area",45,NA,1.6187,2,1,196
"63066","Bank Swallow",225,42.5789349,-81.4940929,2011-07-10,"13:30:00","Traveling",50,4.828,NA,1,1,191
"63075","Bank Swallow",500,42.6016199,-81.4375305,2011-07-10,"14:30:00","Area",30,NA,1.2141,1,1,191
"63079","Bank Swallow",500,42.6016199,-81.4375305,2011-07-09,"16:45:00","Stationary",30,NA,NA,3,1,190
"63083","Bank Swallow",300,42.5789349,-81.4940929,2011-07-14,"13:00:00","Stationary",60,NA,NA,1,1,195
"63099","Bank Swallow",350,42.6781447,-81.2473297,2011-08-20,"16:30:00","Stationary",20,NA,NA,2,1,232
"63125","Bank Swallow",265,42.5789349,-81.4940929,2011-08-01,"12:45:00","Traveling",60,8.047,NA,1,1,213
"63126","Bank Swallow",350,42.6781447,-81.2473297,2011-08-20,"16:30:00","Stationary",20,NA,NA,2,1,232
"63284","Bank Swallow",750,42.6245373,-80.7272813,2012-06-29,"07:30:00","Traveling",120,5,NA,3,1,181
"63288","Bank Swallow",750,42.6406399,-80.7757545,2012-06-18,"09:30:00","Incidental",NA,NA,NA,3,1,170
"63289","Bank Swallow",500,42.6406399,-80.7757545,2012-06-25,"09:00:00","Traveling",60,5,NA,2,1,177
"63293","Bank Swallow",500,42.5789349,-81.4940929,2012-06-20,"17:00:00","Incidental",NA,NA,NA,1,1,172
"63295","Bank Swallow",750,42.6245373,-80.7272813,2012-06-29,"07:30:00","Traveling",120,5,NA,3,1,181
"63297","Bank Swallow",1000,42.6406399,-80.7757545,2012-06-28,"","Incidental",NA,NA,NA,NA,1,180
"63299","Bank Swallow",750,42.6406399,-80.7757545,2012-06-18,"09:30:00","Incidental",NA,NA,NA,3,1,170
"63300","Bank Swallow",500,42.5789349,-81.4940929,2012-06-28,"14:10:00","Incidental",NA,NA,NA,1,1,180
"63303","Bank Swallow",53415,42.6326989,-80.7674033,2012-06-26,"11:00:00","Traveling",120,8,NA,3,1,178
"63310","Bank Swallow",600,42.668458,-81.1699748,2012-06-16,"13:30:00","Area",45,NA,0.8094,1,1,168
"63312","Bank Swallow",750,42.6245373,-80.7272813,2012-06-29,"07:30:00","Traveling",120,5,NA,3,1,181
"63314","Bank Swallow",500,42.6406399,-80.7757545,2012-06-21,"08:45:00","Traveling",60,5,NA,2,1,173
"63315","Bank Swallow",53415,42.6326989,-80.7674033,2012-06-26,"11:00:00","Traveling",120,8,NA,3,1,178
"63316","Bank Swallow",250,42.5789349,-81.4940929,2012-06-23,"16:50:00","Incidental",NA,NA,NA,1,1,175
"63317","Bank Swallow",500,42.6406399,-80.7757545,2012-06-21,"08:45:00","Traveling",60,5,NA,2,1,173
"63319","Bank Swallow",250,42.5789349,-81.4940929,2012-06-24,"16:00:00","Incidental",NA,NA,NA,2,1,176
"63320","Bank Swallow",500,42.6406399,-80.7757545,2012-06-25,"09:00:00","Traveling",60,5,NA,2,1,177
"63324","Bank Swallow",53415,42.6326989,-80.7674033,2012-06-26,"11:00:00","Traveling",120,8,NA,3,1,178
"63325","Bank Swallow",1000,42.6406399,-80.7757545,2012-06-28,"","Historical",NA,NA,NA,NA,1,180
"63329","Bank Swallow",750,42.6406399,-80.7757545,2012-06-18,"09:30:00","Historical",NA,NA,NA,3,1,170
"63330","Bank Swallow",700,42.6781447,-81.2473297,2012-07-21,"09:30:00","Traveling",30,2,NA,2,1,203
"63339","Bank Swallow",220,42.5789349,-81.4940929,2012-07-04,"11:20:00","Traveling",45,4.828,NA,1,1,186
"63341","Bank Swallow",300,42.5789349,-81.4940929,2012-07-17,"08:27:00","Traveling",35,4.023,NA,2,1,199
"63346","Bank Swallow",400,42.5789349,-81.4940929,2012-07-06,"14:00:00","Traveling",45,4.828,NA,1,1,188
"63347","Bank Swallow",700,42.6781447,-81.2473297,2012-07-21,"09:30:00","Traveling",30,2,NA,2,1,203
"63354","Bank Swallow",300,42.5789349,-81.4940929,2012-07-03,"11:00:00","Traveling",45,4.828,NA,1,1,185
"63355","Bank Swallow",750,42.6384064,-80.7469776,2012-07-12,"08:00:00","Traveling",360,15,NA,2,1,194
"63368","Bank Swallow",500,42.6245373,-80.7272813,2012-07-03,"07:45:00","Traveling",120,2,NA,2,1,185
"63369","Bank Swallow",600,42.6384064,-80.7469776,2012-07-04,"09:00:00","Traveling",120,8,NA,2,1,186
"63372","Bank Swallow",300,42.5789349,-81.4940929,2012-07-04,"18:50:00","Incidental",NA,NA,NA,1,1,186
"63376","Bank Swallow",375,42.5789349,-81.4940929,2012-07-07,"12:30:00","Traveling",45,4.828,NA,1,1,189
"63390","Bank Swallow",750,42.6384064,-80.7469776,2012-07-12,"08:00:00","Traveling",300,15,NA,2,1,194
"63394","Bank Swallow",600,42.6384064,-80.7469776,2012-07-04,"09:00:00","Traveling",120,8,NA,2,1,186
"63398","Bank Swallow",500,42.6245373,-80.7272813,2012-07-03,"07:45:00","Traveling",120,5,NA,2,1,185
"63402","Bank Swallow",250,42.5789349,-81.4940929,2012-07-02,"15:00:00","Incidental",NA,NA,NA,1,1,184
"63410","Bank Swallow",500,42.5789349,-81.4940929,2012-07-01,"14:00:00","Incidental",NA,NA,NA,1,1,183
"63417","Bank Swallow",92400,42.6600998,-81.13272,2012-07-05,"08:00:00","Traveling",240,16.5,NA,3,1,187
"63418","Bank Swallow",92532,42.6600998,-81.13272,2012-07-05,"08:00:00","Traveling",240,16.5,NA,3,1,187
"63419","Bank Swallow",92532,42.6600998,-81.13272,2012-07-05,"08:00:00","Traveling",240,16.5,NA,3,1,187
"63420","Bank Swallow",47466,42.5709355,-81.4744785,2012-07-09,"08:45:00","Traveling",360,43,NA,3,1,191
"63421","Bank Swallow",47466,42.5709355,-81.4744785,2012-07-09,"08:45:00","Traveling",360,50,NA,3,1,191
"63548","Bank Swallow",231,42.5789349,-81.4940929,2013-07-04,"12:00:00","Traveling",30,3.219,NA,1,1,185
"63554","Bank Swallow",950,42.5789349,-81.4940929,2013-07-16,"09:00:00","Traveling",30,3.219,NA,1,1,197
"63560","Bank Swallow",300,42.6016199,-81.4375305,2013-07-12,"10:00:00","Incidental",NA,NA,NA,1,1,193
"63566","Bank Swallow",711,42.5789349,-81.4940929,2013-07-09,"12:30:00","Traveling",35,3.219,NA,1,1,190
"63574","Bank Swallow",340,42.5789349,-81.4940929,2013-07-20,"10:40:00","Traveling",45,3.219,NA,2,1,201
"63580","Bank Swallow",400,42.6016199,-81.4375305,2013-07-09,"13:15:00","Incidental",NA,NA,NA,1,1,190
"63584","Bank Swallow",750,42.6016199,-81.4375305,2013-07-17,"11:15:00","Incidental",NA,NA,NA,1,1,198
"63592","Bank Swallow",600,42.5789349,-81.4940929,2013-07-04,"17:50:00","Incidental",NA,NA,NA,2,1,185
"63594","Bank Swallow",500,42.6016199,-81.4375305,2013-07-20,"11:40:00","Incidental",NA,NA,NA,2,1,201
"63596","Bank Swallow",700,42.6016199,-81.4375305,2013-07-13,"11:00:00","Incidental",NA,NA,NA,2,1,194
"63604","Bank Swallow",400,42.5789349,-81.4940929,2013-07-11,"09:00:00","Traveling",30,3.219,NA,1,1,192
"63717","Bank Swallow",280,42.5789349,-81.4940929,2014-06-30,"20:00:00","Traveling",30,3.219,NA,3,1,181
"63718","Bank Swallow",375,42.5789349,-81.4940929,2014-06-30,"12:55:00","Traveling",30,3.219,NA,2,1,181
"63724","Bank Swallow",1000,42.6016199,-81.4375305,2014-07-18,"15:20:00","Incidental",NA,NA,NA,1,1,199
"63725","Bank Swallow",228,42.5789349,-81.4940929,2014-07-02,"12:00:00","Traveling",30,3.219,NA,2,1,183
"63727","Bank Swallow",568,42.5789349,-81.4940929,2014-07-13,"12:50:00","Traveling",30,3.219,NA,2,1,194
"63732","Bank Swallow",600,42.5789349,-81.4940929,2014-07-22,"14:15:00","Traveling",30,3.219,NA,2,1,203
"63734","Bank Swallow",530,42.5789349,-81.4940929,2014-07-12,"11:55:00","Traveling",30,3.219,NA,1,1,193
"63739","Bank Swallow",207,42.5789349,-81.4940929,2014-07-01,"13:00:00","Traveling",30,3.219,NA,2,1,182
"63740","Bank Swallow",1200,42.6016199,-81.4375305,2014-07-13,"13:30:00","Incidental",NA,NA,NA,2,1,194
"63873","Bank Swallow",300,42.5789349,-81.4940929,2015-06-28,"11:00:00","Traveling",30,3.219,NA,1,1,179
"63875","Bank Swallow",800,42.6374411,-80.7615177,2015-06-23,"14:30:00","Incidental",NA,NA,NA,3,0,174
"63878","Bank Swallow",250,42.668458,-81.1699748,2015-07-08,"12:55:00","Traveling",210,5,NA,2,1,189
"63882","Bank Swallow",250,42.5789349,-81.4940929,2015-07-14,"14:00:00","Traveling",30,3.219,NA,2,1,195
"63888","Bank Swallow",250,42.668458,-81.1699748,2015-07-08,"12:55:00","Traveling",210,5,NA,2,1,189
"63893","Bank Swallow",250,42.668458,-81.1699748,2015-07-08,"12:55:00","Traveling",210,5,NA,2,1,189
"63894","Bank Swallow",300,42.5789349,-81.4940929,2015-07-10,"12:15:00","Traveling",30,3.219,NA,1,1,191
"64099","Bank Swallow",235,42.7232609,-81.034542,2016-07-17,"15:00:00","Incidental",NA,NA,NA,1,0,199
"64258","Bank Swallow",455,42.5789349,-81.4940929,2017-07-06,"11:00:00","Traveling",30,3.219,NA,1,1,187
"64260","Bank Swallow",750,42.6435161,-81.4766264,2017-07-06,"11:40:00","Traveling",30,3.219,NA,1,1,187
"64263","Bank Swallow",500,42.6429163,-80.8082117,2017-07-26,"07:50:00","Traveling",45,0.5,NA,1,1,207
"64269","Bank Swallow",500,42.6435161,-81.4766264,2017-07-04,"12:30:00","Traveling",30,3.219,NA,1,1,185
"64273","Bank Swallow",250,42.5789349,-81.4940929,2017-07-04,"11:50:00","Traveling",30,3.219,NA,1,1,185
"64276","Bank Swallow",250,42.6435161,-81.4766264,2017-07-05,"15:45:00","Traveling",30,3.219,NA,1,1,186
"64402","Bank Swallow",300,42.5789349,-81.4940929,2018-06-29,"10:20:00","Traveling",30,3.219,NA,1,1,180
"64404","Bank Swallow",270,42.5789349,-81.4940929,2018-07-05,"15:00:00","Traveling",30,3.219,NA,1,1,186
"64406","Bank Swallow",350,42.5789349,-81.4940929,2018-07-02,"09:15:00","Traveling",30,3.219,NA,1,1,183
"64407","Bank Swallow",230,42.5789349,-81.4940929,2018-07-11,"12:30:00","Traveling",30,3.219,NA,1,1,192
"64417","Bank Swallow",540,42.5789349,-81.4940929,2018-07-01,"14:30:00","Traveling",30,3.219,NA,1,1,182
"64418","Bank Swallow",400,42.668458,-81.1699748,2018-07-20,"08:00:00","Stationary",30,NA,NA,1,0,201
"64427","Bank Swallow",384,42.5789349,-81.4940929,2018-07-09,"14:05:00","Traveling",30,3.219,NA,1,1,190
"64430","Bank Swallow",400,42.5789349,-81.4940929,2018-07-12,"14:20:00","Traveling",30,3.219,NA,1,1,193
"64448","Bank Swallow",300,42.6464602,-80.8221245,2018-08-06,"10:00:00","Stationary",120,NA,NA,2,1,218
"64655","Bank Swallow",650,42.661226,-81.212578,2019-07-07,"18:16:00","Incidental",NA,NA,NA,2,0,188
"64657","Bank Swallow",300,42.6077711,-81.4463117,2019-07-15,"08:11:00","Traveling",65,2,NA,1,1,196
"64658","Bank Swallow",260,42.6077711,-81.4463117,2019-07-06,"08:45:00","Traveling",15,0.322,NA,2,1,187
"64668","Bank Swallow",1000,42.6781447,-81.2473297,2019-07-04,"18:05:00","Traveling",25,2,NA,2,1,185
"64696","Bank Swallow",250,42.6628793,-81.0977098,2019-08-24,"06:35:00","Stationary",125,NA,NA,1,1,236
"65010","Bank Swallow",800,42.6578862,-81.2150145,2020-07-09,"12:30:00","Traveling",45,0.5,NA,2,1,191
"65013","Bank Swallow",1000,42.6578862,-81.2150145,2020-07-09,"15:45:00","Traveling",135,0.5,NA,2,1,191
"65019","Bank Swallow",800,42.6578862,-81.2150145,2020-07-09,"12:30:00","Traveling",45,0.5,NA,2,1,191
"65040","Bank Swallow",220,42.6406399,-80.7757545,2020-08-05,"07:15:00","Traveling",75,0.6,NA,1,1,218
"65182","Bank Swallow",750,42.6077711,-81.4463117,2021-07-10,"09:02:00","Traveling",29,1.692,NA,2,1,191
"65186","Bank Swallow",750,42.6077711,-81.4463117,2021-07-10,"09:02:00","Traveling",29,1.692,NA,2,1,191
"65233","Bank Swallow",2400,42.6396179,-80.7706264,2021-08-15,"06:22:00","Stationary",267,NA,NA,2,1,227
"65234","Bank Swallow",2400,42.6396179,-80.7706264,2021-08-15,"06:22:00","Stationary",267,NA,NA,2,1,227
"65432","Bank Swallow",250,42.6578862,-81.2150145,2022-07-19,"","Historical",NA,NA,NA,NA,1,200
"65446","Bank Swallow",500,42.6068268,-81.446228,2022-07-05,"06:54:00","Stationary",8,0,NA,1,1,186
"65467","Bank Swallow",400,42.6396179,-80.7706264,2022-08-13,"06:38:00","Traveling",172,3.454,NA,1,1,225
"65724","Bank Swallow",300,42.6578862,-81.2150145,2023-07-14,"","Historical",NA,NA,NA,NA,1,195
"65728","Bank Swallow",800,42.6578862,-81.2150145,2023-07-17,"09:55:00","Traveling",4,0.15,NA,1,0,198
"65740","Bank Swallow",500,42.6578862,-81.2150145,2023-07-06,"10:00:00","Traveling",2,0.163,NA,1,1,187
"66074","Bank Swallow",300,42.6031494,-81.4856567,2024-06-20,"06:37:00","Traveling",35,7.08,NA,1,1,172
"66097","Bank Swallow",1000,42.6578862,-81.2150145,2024-07-04,"07:30:00","Traveling",120,6.437,NA,1,1,186
"66099","Bank Swallow",600,42.6662321,-81.1254204,2024-07-15,"18:11:00","Stationary",10,NA,NA,2,1,197
"66101","Bank Swallow",600,42.6662321,-81.1254204,2024-07-15,"18:11:00","Stationary",10,NA,NA,2,1,197
"66114","Bank Swallow",321,42.6770515,-81.3051682,2024-07-07,"07:52:00","Stationary",94,NA,NA,1,1,189
"66118","Bank Swallow",250,42.6578862,-81.2150145,2024-07-06,"13:10:00","Traveling",6,0.37,NA,2,0,188
"66127","Bank Swallow",250,42.6578862,-81.2150145,2024-07-06,"13:10:00","Traveling",6,0.37,NA,2,0,188
"66133","Bank Swallow",400,42.6578862,-81.2150145,2024-07-09,"09:51:00","Historical",NA,NA,NA,NA,1,191
"66277","Bank Swallow",700,42.0141781,-82.5134563,2001-07-13,"","Historical",NA,NA,NA,NA,0,194
"66278","Bank Swallow",13000,41.9207037,-82.511247,2001-07-29,"","Historical",NA,NA,NA,NA,0,210
"66578","Bank Swallow",2200,41.9871058,-82.5240183,2005-07-23,"","Historical",NA,NA,NA,NA,0,204
"66652","Bank Swallow",90000,41.9871058,-82.5240183,2006-07-24,"","Historical",NA,NA,NA,NA,0,205
"66753","Bank Swallow",2600,42.0296751,-82.6048493,2007-07-17,"","Historical",NA,NA,NA,NA,0,198
"66854","Bank Swallow",2500,41.9871058,-82.5240183,2008-08-02,"","Historical",NA,NA,NA,3,0,215
"66985","Bank Swallow",1400,42.0141781,-82.5134563,2009-07-23,"","Historical",NA,NA,NA,NA,0,204
"67557","Bank Swallow",262,42.0105298,-82.526722,2012-08-03,"10:13:00","Traveling",49,13.679,NA,1,1,216
"68026","Bank Swallow",700,42.0105298,-82.526722,2013-08-10,"","Historical",NA,NA,NA,NA,0,222
"68490","Bank Swallow",1300,42.0105298,-82.526722,2014-07-24,"","Historical",NA,NA,NA,NA,1,205
"68974","Bank Swallow",800,42.0105298,-82.526722,2015-07-13,"10:15:00","Traveling",85,14.999,NA,3,1,194
"68975","Bank Swallow",300,42.0389667,-82.5091267,2015-07-13,"11:30:00","Incidental",NA,NA,NA,3,1,194
"68979","Bank Swallow",600,42.0141781,-82.5134563,2015-07-05,"","Historical",NA,NA,NA,NA,0,186
"68984","Bank Swallow",300,42.0389667,-82.5091267,2015-07-13,"11:30:00","Incidental",NA,NA,NA,3,1,194
